epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,42.0521,2.75934,3.35834,1.95481,0.01,0.62069,0.00936,0.00321,2.25049,3.8543,1.71406,0.000502412,0.000502412,0.000502412
23,43.9006,2.73576,3.17286,1.77236,0.01,0.62069,0.00936,0.00321,2.25049,3.8543,1.71406,0.00050796,0.00050796,0.00050796
24,45.7914,2.73861,3.19901,1.79883,0.01,0.62069,0.00936,0.00321,2.25049,3.8543,1.71406,0.000511924,0.000511924,0.000511924
25,47.7137,2.52132,3.48589,1.81966,0.01,0.62069,0.0108,0.0033,2.19658,3.74206,1.69982,0.000514304,0.000514304,0.000514304
26,49.5058,1.12695,11.8984,0.84592,0.01,0.62069,0.0108,0.0033,2.19658,3.74206,1.69982,0.0005151,0.0005151,0.0005151
27,51.3732,2.3032,3.56882,1.89208,0.01,0.62069,0.0108,0.0033,2.19658,3.74206,1.69982,0.000514312,0.000514312,0.000514312
28,53.196,2.66364,3.25479,1.84208,0.01,0.62069,0.0108,0.0033,2.19658,3.74206,1.69982,0.00051194,0.00051194,0.00051194
29,55.1044,2.52885,3.11535,1.77477,0.01,0.62069,0.0108,0.0033,2.19658,3.74206,1.69982,0.000507984,0.000507984,0.000507984
30,57.0992,2.60892,3.35541,1.83322,0.01056,0.65517,0.01328,0.00372,2.30443,3.6711,1.73746,0.000502444,0.000502444,0.000502444
31,58.8904,2.42836,3.26096,1.86014,0.01056,0.65517,0.01328,0.00372,2.30443,3.6711,1.73746,0.00049532,0.00049532,0.00049532
32,60.8103,2.47062,2.93038,1.75386,0.01056,0.65517,0.01328,0.00372,2.30443,3.6711,1.73746,0.000486612,0.000486612,0.000486612
33,62.7901,2.42853,3.23019,1.75212,0.01056,0.65517,0.01328,0.00372,2.30443,3.6711,1.73746,0.00047632,0.00047632,0.00047632
34,64.7388,2.42733,2.76075,1.66696,0.01056,0.65517,0.01328,0.00372,2.30443,3.6711,1.73746,0.000464444,0.000464444,0.000464444
35,66.6455,2.45123,2.9814,1.72156,0.01056,0.65517,0.01328,0.00372,2.30443,3.6711,1.73746,0.000450984,0.000450984,0.000450984
36,68.6825,2.28244,2.99798,1.74297,0.01056,0.65517,0.01335,0.0046,2.23407,3.54943,1.70714,0.00043594,0.00043594,0.00043594
37,70.5955,2.43867,2.83092,1.76315,0.01056,0.65517,0.01335,0.0046,2.23407,3.54943,1.70714,0.000419312,0.000419312,0.000419312
38,72.5309,2.64355,2.67689,1.60179,0.01056,0.65517,0.01335,0.0046,2.23407,3.54943,1.70714,0.0004011,0.0004011,0.0004011
39,74.4847,2.77122,2.75858,1.77968,0.01056,0.65517,0.01335,0.0046,2.23407,3.54943,1.70714,0.000381304,0.000381304,0.000381304
40,76.3999,2.57935,3.2168,1.82814,0.01056,0.65517,0.01335,0.0046,2.23407,3.54943,1.70714,0.000359924,0.000359924,0.000359924
41,78.3032,2.39657,2.8915,1.76521,0.01056,0.65517,0.01335,0.0046,2.23407,3.54943,1.70714,0.00033696,0.00033696,0.00033696
42,80.2293,2.25567,3.07422,1.6153,0.01056,0.65517,0.01335,0.0046,2.23407,3.54943,1.70714,0.000312412,0.000312412,0.000312412
43,82.1756,2.33183,3.14494,1.83452,0.01111,0.68966,0.0128,0.00562,2.08541,3.35902,1.64154,0.00028628,0.00028628,0.00028628
44,84.0533,2.27571,2.97579,1.53771,0.01111,0.68966,0.0128,0.00562,2.08541,3.35902,1.64154,0.000258564,0.000258564,0.000258564
45,85.986,2.03633,3.06586,1.6598,0.01111,0.68966,0.0128,0.00562,2.08541,3.35902,1.64154,0.000229264,0.000229264,0.000229264
46,87.8459,2.27079,2.95162,1.74345,0.01111,0.68966,0.0128,0.00562,2.08541,3.35902,1.64154,0.00019838,0.00019838,0.00019838
47,89.743,2.45469,2.97993,1.74094,0.01111,0.68966,0.0128,0.00562,2.08541,3.35902,1.64154,0.000165912,0.000165912,0.000165912
48,91.5513,2.27605,3.20355,1.87664,0.01111,0.68966,0.0128,0.00562,2.08541,3.35902,1.64154,0.00013186,0.00013186,0.00013186
49,93.4128,2.10156,2.92975,1.70604,0.01111,0.68966,0.0128,0.00562,2.08541,3.35902,1.64154,9.6224e-05,9.6224e-05,9.6224e-05
50,95.2586,2.12548,3.10181,1.66936,0.01111,0.68966,0.0128,0.00562,2.08541,3.35902,1.64154,5.9004e-05,5.9004e-05,5.9004e-05
