epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.48609,3.90011,4.40962,2.97559,0,0,0,0,3.82419,4.67821,3.13555,2e-05,2e-05,2e-05
2,4.34925,4.13741,4.24936,3.23737,0,0,0,0,3.74779,4.53511,3.03137,5.8812e-05,5.8812e-05,5.8812e-05
3,6.3005,4.12063,4.06951,2.98535,0,0,0,0,3.76571,4.51815,3.01679,9.604e-05,9.604e-05,9.604e-05
4,8.18055,3.75972,4.29173,2.96503,0,0,0,0,3.63257,4.53975,2.92524,0.000131684,0.000131684,0.000131684
5,10.2023,3.92269,4.1502,2.72773,0.00056,0.03448,0.00029,3e-05,3.54405,4.46019,2.82959,0.000165744,0.000165744,0.000165744
6,12.003,4.37829,4.57561,2.85656,0.00056,0.03448,0.00029,3e-05,3.54405,4.46019,2.82959,0.00019822,0.00019822,0.00019822
7,13.921,3.38939,4.05265,2.77792,0.00111,0.06897,0.00061,0.00012,3.45248,4.33068,2.6302,0.000229112,0.000229112,0.000229112
8,15.9165,3.5691,4.10732,2.54508,0.00278,0.17241,0.00163,0.00061,3.26705,4.24754,2.40447,0.00025842,0.00025842,0.00025842
9,17.9286,3.21702,4.03671,2.43052,0.00278,0.17241,0.00163,0.00061,3.26705,4.24754,2.40447,0.000286144,0.000286144,0.000286144
10,19.895,3.36973,3.88421,2.47027,0.005,0.31034,0.00342,0.00108,2.96974,4.14358,2.19067,0.000312284,0.000312284,0.000312284
11,21.8337,1.63369,9.60426,1.12416,0.005,0.31034,0.00342,0.00108,2.96974,4.14358,2.19067,0.00033684,0.00033684,0.00033684
12,23.7479,3.4234,3.79996,2.31356,0.005,0.31034,0.00335,0.00093,2.87234,4.03038,2.04109,0.000359812,0.000359812,0.000359812
13,25.5703,2.75641,3.75733,2.15027,0.005,0.31034,0.00335,0.00093,2.87234,4.03038,2.04109,0.0003812,0.0003812,0.0003812
14,27.4113,3.28939,3.87685,2.21681,0.005,0.31034,0.00335,0.00093,2.87234,4.03038,2.04109,0.000401004,0.000401004,0.000401004
15,29.1945,2.82475,3.73405,2.05384,0.00722,0.44828,0.00528,0.00093,2.71415,3.98791,1.95751,0.000419224,0.000419224,0.000419224
16,31.1718,2.82639,3.56433,1.96965,0.00722,0.44828,0.00528,0.00093,2.71415,3.98791,1.95751,0.00043586,0.00043586,0.00043586
17,33.0517,2.88202,3.42894,2.05304,0.00722,0.44828,0.00528,0.00093,2.71415,3.98791,1.95751,0.000450912,0.000450912,0.000450912
18,34.8244,2.81566,3.48487,1.84984,0.01,0.62069,0.00849,0.0019,2.47234,3.9159,1.83174,0.00046438,0.00046438,0.00046438
19,36.5611,2.92038,3.56032,1.90922,0.01,0.62069,0.00849,0.0019,2.47234,3.9159,1.83174,0.000476264,0.000476264,0.000476264
20,38.3453,2.87971,3.37516,1.77866,0.01,0.62069,0.00849,0.0019,2.47234,3.9159,1.83174,0.000486564,0.000486564,0.000486564
21,40.2024,2.87416,3.67178,2.13571,0.01,0.62069,0.00936,0.00321,2.25049,3.8543,1.71406,0.00049528,0.00049528,0.00049528
